,期数,红球_1,红球_2,红球_3,红球_4,红球_5,红球_6,蓝球
346,22098,02,03,04,06,21,33,05
347,22097,04,05,10,13,30,31,14
348,22096,03,16,17,19,25,33,07
349,22095,04,13,14,18,20,28,08
350,22094,06,11,13,16,19,31,02
351,22093,21,22,24,28,29,32,14
352,22092,07,10,16,20,21,27,11
353,22091,08,18,20,22,24,28,10
354,22090,01,04,25,27,29,30,07
355,22089,02,07,15,29,31,33,15
356,22088,03,09,15,17,20,22,06
357,22087,05,06,09,13,23,25,08
358,22086,01,04,08,21,23,24,11
359,22085,07,09,14,31,32,33,13
360,22084,03,18,23,24,25,32,09
361,22083,08,12,13,14,19,20,05
362,22082,04,10,11,23,30,32,14
363,22081,04,08,11,21,27,30,01
364,22080,05,12,15,17,18,27,04
365,22079,01,09,15,17,22,23,16
366,22078,01,04,05,15,17,31,09
367,22077,03,17,18,19,20,27,16
368,22076,08,09,10,13,24,29,02
369,22075,01,02,04,25,26,30,10
370,22074,05,07,15,19,29,33,15
371,22073,06,10,14,15,26,29,12
372,22072,05,14,15,16,18,32,12
373,22071,04,07,15,18,29,33,01
374,22070,04,06,09,27,28,33,02
375,22069,06,07,13,19,26,29,08
376,22068,07,12,15,24,26,29,06
377,22067,01,05,13,21,26,29,15
378,22066,06,11,14,20,27,30,09
379,22065,09,14,18,23,28,31,02
380,22064,04,06,12,13,17,31,16
381,22063,06,08,09,17,22,31,11
382,22062,16,18,20,21,23,33,05
383,22061,01,03,16,18,29,33,06
384,22060,16,18,19,24,28,32,01
385,22059,06,09,18,19,29,33,06
386,22058,06,13,14,23,31,33,01
387,22057,12,15,20,26,30,33,16
388,22056,01,06,11,14,17,26,15
389,22055,02,04,09,26,28,33,03
390,22054,08,12,21,27,28,33,11
391,22053,10,14,18,23,27,33,15
392,22052,07,24,27,29,31,32,15
393,22051,02,05,11,17,21,33,01
394,22050,03,05,08,14,27,33,08
395,22049,02,04,07,18,25,26,10
396,22048,05,07,17,20,26,31,14
397,22047,03,07,08,14,27,30,09
398,22046,02,11,24,25,27,30,14
399,22045,03,12,17,18,19,28,04
400,22044,01,07,08,21,23,29,06
401,22043,02,17,20,23,25,27,08
402,22042,05,10,11,21,22,30,13
403,22041,05,07,21,22,24,29,14
404,22040,03,12,14,16,31,33,12
405,22039,02,06,07,10,15,20,05
406,22038,09,12,13,16,24,32,04
407,22037,01,10,13,20,22,32,14
408,22036,02,03,14,16,26,31,02
409,22035,08,12,13,19,23,25,15
410,22034,14,17,26,31,32,33,10
411,22033,05,12,19,22,25,26,05
412,22032,04,10,11,14,23,32,07
413,22031,01,10,11,22,26,32,07
414,22030,12,23,24,26,27,30,05
415,22029,03,08,10,13,26,32,08
416,22028,05,11,20,22,23,29,09
417,22027,14,15,18,19,26,32,09
418,22026,03,04,10,15,22,24,02
419,22025,06,19,24,25,28,32,04
420,22024,07,09,10,14,19,24,15
421,22023,07,12,17,19,24,25,02
422,22022,01,07,11,15,17,19,06
423,22021,03,07,22,24,26,31,14
424,22020,09,11,14,22,30,32,01
425,22019,05,06,14,20,21,25,08
426,22018,07,11,16,17,30,32,16
427,22017,06,09,24,29,30,32,07
428,22016,05,10,19,20,29,31,14
429,22015,06,14,16,27,28,31,07
430,22014,06,07,13,14,15,27,04
431,22013,02,03,04,07,10,18,15
432,22012,04,07,08,29,30,31,01
433,22011,06,15,23,24,25,33,15
434,22010,12,18,19,20,21,32,15
435,22009,04,15,17,19,25,28,16
436,22008,02,03,07,09,20,21,13
437,22007,01,20,22,23,25,28,16
438,22006,03,06,09,15,22,31,02
439,22005,07,10,12,16,19,31,16
440,22004,05,19,24,28,30,32,14
441,22003,02,05,16,17,18,30,06
442,22002,02,12,21,23,25,31,08
443,22001,06,13,15,17,20,21,03
444,21150,09,14,20,21,24,26,04
445,21149,05,10,15,18,19,32,05
446,21148,10,12,15,17,19,20,08
447,21147,05,10,11,13,27,28,09
448,21146,07,09,21,22,26,32,03
449,21145,04,07,10,14,16,26,09
450,21144,02,05,13,15,23,26,07
451,21143,01,09,11,13,20,29,09
452,21142,04,07,17,19,20,24,16
453,21141,01,14,19,23,26,30,10
454,21140,05,10,16,26,27,33,01
455,21139,12,14,19,23,24,27,01
456,21138,11,14,15,16,27,32,09
457,21137,03,07,10,14,21,24,01
458,21136,02,06,09,15,19,28,16
459,21135,03,10,17,19,21,31,04
460,21134,01,02,16,19,25,31,08
461,21133,01,03,12,19,27,31,10
462,21132,01,04,06,14,20,28,08
463,21131,08,11,18,19,20,24,01
464,21130,08,09,15,24,26,30,06
465,21129,04,15,21,27,28,29,10
466,21128,05,17,20,21,23,33,04
467,21127,07,15,16,20,27,29,07
468,21126,19,20,23,27,28,31,01
469,21125,14,19,20,23,24,31,09
470,21124,01,03,18,22,29,32,02
471,21123,06,14,15,19,29,31,05
472,21122,04,05,12,15,18,28,07
473,21121,04,05,12,16,22,30,15
474,21120,01,07,08,12,13,18,05
475,21119,03,09,10,11,28,29,13
476,21118,02,06,14,18,20,31,13
477,21117,03,05,17,21,27,33,04
478,21116,06,14,17,18,31,33,06
479,21115,02,10,12,15,24,27,08
480,21114,04,06,08,14,24,27,02
481,21113,04,07,10,22,27,30,02
482,21112,05,06,21,25,28,33,07
483,21111,17,20,22,23,26,28,06
484,21110,10,13,15,24,31,32,02
